sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.44,0.36,0.28615384615384615,0.68,0.79,0.5700000000000001,0.88,0.73,No counterfactual,31,39
0.48,0.36,0.28615384615384615,0.68,0.79,0.5700000000000001,0.88,0.73,No counterfactual,31,39
0.52,0.36,0.28615384615384615,0.68,0.79,0.5700000000000001,0.88,0.73,No counterfactual,31,39
0.16,0.44,0.3497435897435897,0.6,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.16,0.64,0.5087179487179487,0.44,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.2,0.44,0.3497435897435897,0.6,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.2,0.64,0.5087179487179487,0.44,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.24,0.44,0.3497435897435897,0.6,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.24,0.64,0.5087179487179487,0.44,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.28,0.28,0.22256410256410258,0.72,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.28,0.44,0.3497435897435897,0.6,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.32,0.28,0.22256410256410258,0.72,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.32,0.44,0.3497435897435897,0.6,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.36,0.28,0.22256410256410258,0.72,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.36,0.44,0.3497435897435897,0.6,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.4,0.28,0.22256410256410258,0.72,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.4,0.44,0.3497435897435897,0.6,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.44,0.28,0.22256410256410258,0.72,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.44,0.44,0.3497435897435897,0.6,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.48,0.28,0.22256410256410258,0.72,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.52,0.28,0.22256410256410258,0.72,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.56,0.28,0.22256410256410258,0.72,0.56,0.78,0.75,0.8,No counterfactual,31,39
0.4,0.48,0.3815384615384615,0.44,0.86,0.98,0.46,0.68,No counterfactual,31,39
0.44,0.48,0.3815384615384615,0.44,0.86,0.98,0.46,0.68,No counterfactual,31,39
0.48,0.48,0.3815384615384615,0.44,0.86,0.98,0.46,0.68,No counterfactual,31,39
0.6,0.28,0.22256410256410258,0.6,0.86,0.98,0.46,0.68,No counterfactual,31,39
0.64,0.28,0.22256410256410258,0.6,0.86,0.98,0.46,0.68,No counterfactual,31,39
0.68,0.28,0.22256410256410258,0.6,0.86,0.98,0.46,0.68,No counterfactual,31,39
0.2,0.64,0.5087179487179487,0.48,0.65,0.74,0.99,0.62,No counterfactual,31,39
0.24,0.64,0.5087179487179487,0.48,0.65,0.74,0.99,0.62,No counterfactual,31,39
0.12,0.48,0.3815384615384615,0.56,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.12,0.68,0.5405128205128206,0.4,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.16,0.48,0.3815384615384615,0.56,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.16,0.68,0.5405128205128206,0.4,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.2,0.48,0.3815384615384615,0.56,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.2,0.68,0.5405128205128206,0.4,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.24,0.28,0.22256410256410258,0.72,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.24,0.48,0.3815384615384615,0.56,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.28,0.28,0.22256410256410258,0.72,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.28,0.48,0.3815384615384615,0.56,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.32,0.28,0.22256410256410258,0.72,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.32,0.48,0.3815384615384615,0.56,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.36,0.28,0.22256410256410258,0.72,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.36,0.48,0.3815384615384615,0.56,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.4,0.28,0.22256410256410258,0.72,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.4,0.48,0.3815384615384615,0.56,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.44,0.28,0.22256410256410258,0.72,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.48,0.28,0.22256410256410258,0.72,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.52,0.28,0.22256410256410258,0.72,0.52,0.8,0.79,0.74,No counterfactual,31,39
0.12,0.56,0.44512820512820517,0.4,0.47,0.8200000000000001,0.71,0.47,No counterfactual,31,39
0.12,0.76,0.604102564102564,0.24,0.47,0.8200000000000001,0.71,0.47,No counterfactual,31,39
0.16,0.56,0.44512820512820517,0.4,0.47,0.8200000000000001,0.71,0.47,No counterfactual,31,39
0.2,0.56,0.44512820512820517,0.4,0.47,0.8200000000000001,0.71,0.47,No counterfactual,31,39
0.24,0.56,0.44512820512820517,0.4,0.47,0.8200000000000001,0.71,0.47,No counterfactual,31,39
0.28,0.56,0.44512820512820517,0.4,0.47,0.8200000000000001,0.71,0.47,No counterfactual,31,39
0.32,0.56,0.44512820512820517,0.4,0.47,0.8200000000000001,0.71,0.47,No counterfactual,31,39
0.08,0.56,0.44512820512820517,0.44,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
0.08,0.76,0.604102564102564,0.28,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
0.12,0.36,0.28615384615384615,0.6,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
0.12,0.56,0.44512820512820517,0.44,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
0.12,0.76,0.604102564102564,0.28,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
0.16,0.36,0.28615384615384615,0.6,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
0.16,0.56,0.44512820512820517,0.44,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
0.2,0.36,0.28615384615384615,0.6,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
0.2,0.56,0.44512820512820517,0.44,0.47,0.8300000000000001,0.73,0.6,No counterfactual,31,39
