Identifier,Room
201531906,1
201621002,0
201617420,1
201614870,1
201614871,0
201617430,0
201619997,1
201611294,0
201533217,1
201532456,0
201613100,1
201611828,1
201612089,0
201614907,0
201617737,1
201616462,0
201620049,0
201533781,0
201611862,0
201613911,0
201615701,0
201616727,1
201611356,1
201534300,1
201622877,0
201618025,1
201616234,1
201514862,0
201614446,0
201615983,0
201534330,0
201619330,0
201613193,0
201620361,1
201614476,0
201619092,0
201620892,0
201613215,0
201531299,1
201622187,0
201619115,0
201616301,0
201617333,0
201619385,1
201611211,0
201613008,0
201621214,1
201612511,1
201615076,0
201614310,1
201531631,1
201611761,0
201611506,1
201532158,0
