Identifier,Room
201532931,1
201612293,0
201616913,1
201618461,0
201620009,0
201612348,1
201611329,0
201619521,0
201619020,0
201611853,1
201613902,1
201620566,1
201616474,1
201612382,0
201614434,0
201619558,0
201614955,0
201622645,0
201618551,0
201613442,1
201614475,1
201619085,1
201620109,1
201617044,0
201612449,0
201621667,0
201613992,0
201616040,0
201512115,1
201611962,0
201614034,0
201611484,0
201621732,1
201615077,0
201622762,0
201612527,1
201613552,0
201614598,0
201615112,0
201616149,0
201615640,1
201531673,0
201515293,1
201616164,0
201617701,1
201618225,1
201511733,1
201615157,0
201620280,1
201617210,0
201623871,1
201615682,1
201533260,0
201617745,1
201612626,1
201512789,0
201622872,0
201613148,1
201617761,0
201517413,0
201617263,0
201612657,1
201614731,1
201623444,1
201621920,1
201614245,0
201619370,0
201622445,1
201614269,1
201618368,0
201612225,0
201617348,0
201613769,1
201616329,1
201616857,1
201618396,0
201618405,1
201618926,1
201620975,0
201614836,0
201616379,1
