Identifier,Room
201729288,1
201716234,1
201728789,1
201715999,0
201729279,0
201718823,1
201730088,0
201728820,0
201712950,1
201714742,0
201716026,1
201728323,1
201729347,1
201729113,1
201730656,1
201729121,1
201715811,0
201730408,1
201729909,0
201728380,1
201728894,0
201729421,0
201730961,0
201714071,1
201632408,0
201714839,1
201730459,1
201730979,0
201728940,0
201729452,0
201728942,1
201729721,0
201630403,0
201728974,0
201731794,1
201729242,1
201729502,1
201713382,1
201730793,1
201729005,1
201731059,0
201729269,1
201729015,0
201711869,0
201730303,1
