Identifier,Room
201820685,0
201821970,1
201819673,0
201821721,1
201730335,0
201822252,0
201821744,1
201523762,1
201819954,0
201820210,1
201812282,0
201819963,0
201820735,1
201817156,0
201815622,1
201816902,1
201820489,1
201617485,1
201821775,1
201822033,1
201812052,0
201819990,0
201821270,1
201822040,1
201815899,1
201820252,1
201821026,1
201820003,1
201812075,1
201822067,0
201822840,1
201821049,1
201821053,0
201812351,0
201814919,1
201817486,1
201823124,1
201821860,0
201822380,1
201821359,0
201822896,0
201822897,1
201820857,0
201729748,1
201819862,0
201820637,0
201821918,0
201730272,1
201632738,1
201821923,1
201822950,0
201821678,0
201820658,1
201821938,1
201812474,0
201820670,0
