Identifier,Room
201612292,1
201613830,0
201515271,1
201531658,0
201617938,0
201612563,1
201514262,0
201615382,1
201618458,1
201613851,1
201533473,1
201611303,0
201531692,0
201611317,1
201618488,0
201532473,0
201511483,0
201615420,0
201617474,0
201614147,0
201535556,0
201615428,0
201617732,1
201616455,0
201611089,0
201611345,0
201621588,1
201612889,1
201621349,0
201612393,1
201512558,1
201535856,1
201618036,0
201512576,1
201611410,1
201532054,0
201617562,0
201618332,0
201612446,1
201611424,0
201520547,0
201533348,0
201530790,0
201533609,1
201533101,0
201618355,0
201532362,1
201533388,0
201611214,0
201611471,0
201611226,0
201619419,0
201612254,0
201611232,1
201611233,0
201619689,1
201617641,0
201513965,1
201618929,0
201612277,1
