Identifier,Room
201815042,0
201732873,1
201716496,1
201811988,1
201812756,1
201812512,1
201729057,0
201712935,0
201729576,0
201815591,1
201531180,0
201812269,1
201729328,0
201730099,1
201814326,1
201814582,1
201813051,1
201730882,1
201815109,0
201812296,1
201816138,0
201813071,0
201729875,1
201815641,1
201814620,1
201811550,0
201814878,1
201811553,1
201817711,1
201815411,1
201814910,0
201816446,1
201813120,1
201731457,1
201729410,0
201730947,1
201812608,0
201730686,0
201814155,1
201814924,0
201815180,1
201815182,0
201812112,0
201812379,0
201813916,1
201729952,1
201712299,1
201811883,1
201731252,0
201813428,0
201814964,0
201815737,0
201814716,1
201731523,1
201814482,1
201817303,0
201816544,1
201812705,1
201729250,1
201815011,1
201813752,1
201812731,1
