Identifier,Room
201820672,1
201819905,0
201819916,0
201821201,1
201820962,0
201822246,0
201820711,0
201820970,1
201820158,0
201820475,0
201822012,0
201822269,0
201821249,0
201820743,0
201819721,1
201821773,0
201812048,1
201819991,1
201821784,0
201815643,0
201820254,1
201813345,1
201821027,1
201813863,1
201821802,0
201814775,0
201822060,0
201714542,1
201821041,0
201820532,0
201822069,1
201821050,0
201820028,0
201822077,0
201820543,1
201815679,0
201730180,1
201730436,1
201815942,0
201812360,0
201820552,0
201822089,1
201821582,0
201815696,0
201813400,0
201812643,1
201729708,0
201814445,0
201820844,1
201821613,0
201822131,1
201813943,0
201813434,0
201812424,0
201821398,0
201813719,1
201822174,0
201821152,0
201730536,1
201814510,0
201816047,1
201820398,1
201820916,0
201813238,0
201812471,0
201821182,0
