p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.29,0.6,0.37,0.58
0.29,0.6,0.37,0.59
0.29,0.6,0.37,0.6
0.29,0.6,0.37,0.61
0.29,0.6,0.37,0.62
0.29,0.6,0.37,0.63
0.29,0.6,0.37,0.64
0.29,0.6,0.37,0.65
0.29,0.6,0.37,0.66
0.29,0.6,0.37,0.67
0.29,0.6,0.37,0.68
0.29,0.6,0.38,0.5
0.29,0.6,0.38,0.51
0.29,0.6,0.38,0.52
0.29,0.6,0.38,0.53
0.29,0.6,0.38,0.54
0.29,0.6,0.38,0.55
0.29,0.6,0.38,0.56
0.29,0.6,0.38,0.5700000000000001
0.29,0.6,0.38,0.58
0.29,0.6,0.38,0.59
0.29,0.6,0.38,0.6
0.29,0.6,0.38,0.61
0.29,0.6,0.38,0.62
0.29,0.6,0.38,0.63
0.29,0.6,0.38,0.64
0.29,0.6,0.38,0.65
0.29,0.6,0.38,0.66
0.29,0.6,0.38,0.67
0.29,0.6,0.38,0.68
0.29,0.6,0.39,0.5
0.29,0.6,0.39,0.51
0.29,0.6,0.39,0.52
0.29,0.6,0.39,0.53
0.29,0.6,0.39,0.54
0.29,0.6,0.39,0.55
0.29,0.6,0.39,0.56
0.29,0.6,0.39,0.5700000000000001
0.29,0.6,0.39,0.58
0.29,0.6,0.39,0.59
0.29,0.6,0.39,0.6
0.29,0.6,0.39,0.61
0.29,0.6,0.39,0.62
0.29,0.6,0.39,0.63
0.29,0.6,0.39,0.64
0.29,0.6,0.39,0.65
0.29,0.6,0.39,0.66
0.29,0.6,0.39,0.67
0.29,0.6,0.39,0.68
0.29,0.6,0.4,0.5
0.29,0.6,0.4,0.51
0.29,0.6,0.4,0.52
0.29,0.6,0.4,0.53
0.29,0.6,0.4,0.54
0.29,0.6,0.4,0.55
0.29,0.6,0.4,0.56
0.29,0.6,0.4,0.5700000000000001
0.29,0.6,0.4,0.58
0.29,0.6,0.4,0.59
0.29,0.6,0.4,0.6
0.29,0.6,0.4,0.61
0.29,0.6,0.4,0.62
0.29,0.6,0.4,0.63
0.29,0.6,0.4,0.64
0.29,0.6,0.4,0.65
0.29,0.6,0.4,0.66
0.29,0.6,0.4,0.67
0.29,0.6,0.4,0.68
0.29,0.6,0.41000000000000003,0.5
0.29,0.6,0.41000000000000003,0.51
0.29,0.6,0.41000000000000003,0.52
0.29,0.6,0.41000000000000003,0.53
0.29,0.6,0.41000000000000003,0.54
0.29,0.6,0.41000000000000003,0.55
0.29,0.6,0.41000000000000003,0.56
0.29,0.6,0.41000000000000003,0.5700000000000001
0.29,0.6,0.41000000000000003,0.58
0.29,0.6,0.41000000000000003,0.59
0.29,0.6,0.41000000000000003,0.6
0.29,0.6,0.41000000000000003,0.61
0.29,0.6,0.41000000000000003,0.62
0.29,0.6,0.41000000000000003,0.63
0.29,0.6,0.41000000000000003,0.64
0.29,0.6,0.41000000000000003,0.65
0.29,0.6,0.41000000000000003,0.66
0.29,0.6,0.41000000000000003,0.67
0.29,0.6,0.41000000000000003,0.68
0.29,0.6,0.42,0.5
0.29,0.6,0.42,0.51
0.29,0.6,0.42,0.52
0.29,0.6,0.42,0.53
0.29,0.6,0.42,0.54
0.29,0.6,0.42,0.55
0.29,0.6,0.42,0.56
0.29,0.6,0.42,0.5700000000000001
0.29,0.6,0.42,0.58
0.29,0.6,0.42,0.59
0.29,0.6,0.42,0.6
0.29,0.6,0.42,0.61
0.29,0.6,0.42,0.62
0.29,0.6,0.42,0.63
0.29,0.6,0.42,0.64
0.29,0.6,0.42,0.65
0.29,0.6,0.42,0.66
0.29,0.6,0.42,0.67
0.29,0.6,0.42,0.68
0.29,0.6,0.43,0.5
0.29,0.6,0.43,0.51
0.29,0.6,0.43,0.52
0.29,0.6,0.43,0.53
0.29,0.6,0.43,0.54
0.29,0.6,0.43,0.55
0.29,0.6,0.43,0.56
0.29,0.6,0.43,0.5700000000000001
0.29,0.6,0.43,0.58
0.29,0.6,0.43,0.59
0.29,0.6,0.43,0.6
0.29,0.6,0.43,0.61
0.29,0.6,0.43,0.62
0.29,0.6,0.43,0.63
0.29,0.6,0.43,0.64
0.29,0.6,0.43,0.65
0.29,0.6,0.43,0.66
0.29,0.6,0.43,0.67
0.29,0.6,0.43,0.68
0.29,0.6,0.44,0.5
0.29,0.6,0.44,0.51
0.29,0.6,0.44,0.52
0.29,0.6,0.44,0.53
0.29,0.6,0.44,0.54
0.29,0.6,0.44,0.55
0.29,0.6,0.44,0.56
0.29,0.6,0.44,0.5700000000000001
0.29,0.6,0.44,0.58
0.29,0.6,0.44,0.59
