p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.01,1.0,0.35000000000000003,0.41000000000000003
0.01,1.0,0.35000000000000003,0.42
0.01,1.0,0.35000000000000003,0.43
0.01,1.0,0.35000000000000003,0.44
0.01,1.0,0.35000000000000003,0.45
0.01,1.0,0.35000000000000003,0.46
0.01,1.0,0.35000000000000003,0.47000000000000003
0.01,1.0,0.35000000000000003,0.48
0.01,1.0,0.35000000000000003,0.49
0.01,1.0,0.35000000000000003,0.5
0.01,1.0,0.36,0.34
0.01,1.0,0.36,0.35000000000000003
0.01,1.0,0.36,0.36
0.01,1.0,0.36,0.37
0.01,1.0,0.36,0.38
0.01,1.0,0.36,0.39
0.01,1.0,0.36,0.4
0.01,1.0,0.36,0.41000000000000003
0.01,1.0,0.36,0.42
0.01,1.0,0.36,0.43
0.01,1.0,0.36,0.44
0.01,1.0,0.36,0.45
0.01,1.0,0.36,0.46
0.01,1.0,0.36,0.47000000000000003
0.01,1.0,0.36,0.48
0.01,1.0,0.36,0.49
0.01,1.0,0.36,0.5
0.01,1.0,0.37,0.34
0.01,1.0,0.37,0.35000000000000003
0.01,1.0,0.37,0.36
0.01,1.0,0.37,0.37
0.01,1.0,0.37,0.38
0.01,1.0,0.37,0.39
0.01,1.0,0.37,0.4
0.01,1.0,0.37,0.41000000000000003
0.01,1.0,0.37,0.42
0.01,1.0,0.37,0.43
0.01,1.0,0.37,0.44
0.01,1.0,0.37,0.45
0.01,1.0,0.37,0.46
0.01,1.0,0.37,0.47000000000000003
0.01,1.0,0.37,0.48
0.01,1.0,0.37,0.49
0.01,1.0,0.37,0.5
0.01,1.0,0.38,0.34
0.01,1.0,0.38,0.35000000000000003
0.01,1.0,0.38,0.36
0.01,1.0,0.38,0.37
0.01,1.0,0.38,0.38
0.01,1.0,0.38,0.39
0.01,1.0,0.38,0.4
0.01,1.0,0.38,0.41000000000000003
0.01,1.0,0.38,0.42
0.01,1.0,0.38,0.43
0.01,1.0,0.38,0.44
0.01,1.0,0.38,0.45
0.01,1.0,0.38,0.46
0.01,1.0,0.38,0.47000000000000003
0.01,1.0,0.38,0.48
0.01,1.0,0.38,0.49
0.01,1.0,0.38,0.5
0.01,1.0,0.39,0.34
0.01,1.0,0.39,0.35000000000000003
0.01,1.0,0.39,0.36
0.01,1.0,0.39,0.37
0.01,1.0,0.39,0.38
0.01,1.0,0.39,0.39
0.01,1.0,0.39,0.4
0.01,1.0,0.39,0.41000000000000003
0.01,1.0,0.39,0.42
0.01,1.0,0.39,0.43
0.01,1.0,0.39,0.44
0.01,1.0,0.39,0.45
0.01,1.0,0.39,0.46
0.01,1.0,0.39,0.47000000000000003
0.01,1.0,0.39,0.48
0.01,1.0,0.39,0.49
0.01,1.0,0.39,0.5
0.01,1.0,0.4,0.34
0.01,1.0,0.4,0.35000000000000003
0.01,1.0,0.4,0.36
0.01,1.0,0.4,0.37
0.01,1.0,0.4,0.38
0.01,1.0,0.4,0.39
0.01,1.0,0.4,0.4
0.01,1.0,0.4,0.41000000000000003
0.01,1.0,0.4,0.42
0.01,1.0,0.4,0.43
0.01,1.0,0.4,0.44
0.01,1.0,0.4,0.45
0.01,1.0,0.4,0.46
0.01,1.0,0.4,0.47000000000000003
0.01,1.0,0.4,0.48
0.01,1.0,0.4,0.49
0.01,1.0,0.4,0.5
0.01,1.0,0.41000000000000003,0.34
0.01,1.0,0.41000000000000003,0.35000000000000003
0.01,1.0,0.41000000000000003,0.36
0.01,1.0,0.41000000000000003,0.37
0.01,1.0,0.41000000000000003,0.38
0.01,1.0,0.41000000000000003,0.39
0.01,1.0,0.41000000000000003,0.4
0.01,1.0,0.41000000000000003,0.41000000000000003
0.01,1.0,0.41000000000000003,0.42
0.01,1.0,0.41000000000000003,0.43
0.01,1.0,0.41000000000000003,0.44
0.01,1.0,0.41000000000000003,0.45
0.01,1.0,0.41000000000000003,0.46
0.01,1.0,0.41000000000000003,0.47000000000000003
0.01,1.0,0.41000000000000003,0.48
0.01,1.0,0.41000000000000003,0.49
0.01,1.0,0.41000000000000003,0.5
0.01,1.0,0.42,0.34
0.01,1.0,0.42,0.35000000000000003
0.01,1.0,0.42,0.36
0.01,1.0,0.42,0.37
0.01,1.0,0.42,0.38
0.01,1.0,0.42,0.39
0.01,1.0,0.42,0.4
0.01,1.0,0.42,0.41000000000000003
0.01,1.0,0.42,0.42
0.01,1.0,0.42,0.43
0.01,1.0,0.42,0.44
0.01,1.0,0.42,0.45
0.01,1.0,0.42,0.46
0.01,1.0,0.42,0.47000000000000003
0.01,1.0,0.42,0.48
0.01,1.0,0.42,0.49
0.01,1.0,0.42,0.5
0.01,1.0,0.43,0.34
0.01,1.0,0.43,0.35000000000000003
0.01,1.0,0.43,0.36
0.01,1.0,0.43,0.37
0.01,1.0,0.43,0.38
0.01,1.0,0.43,0.39
0.01,1.0,0.43,0.4
0.01,1.0,0.43,0.41000000000000003
0.01,1.0,0.43,0.42
0.01,1.0,0.43,0.43
0.01,1.0,0.43,0.44
0.01,1.0,0.43,0.45
0.01,1.0,0.43,0.46
0.01,1.0,0.43,0.47000000000000003
0.01,1.0,0.43,0.48
0.01,1.0,0.43,0.49
0.01,1.0,0.43,0.5
0.01,1.0,0.44,0.34
0.01,1.0,0.44,0.35000000000000003
0.01,1.0,0.44,0.36
0.01,1.0,0.44,0.37
0.01,1.0,0.44,0.38
0.01,1.0,0.44,0.39
0.01,1.0,0.44,0.4
0.01,1.0,0.44,0.41000000000000003
0.01,1.0,0.44,0.42
0.01,1.0,0.44,0.43
0.01,1.0,0.44,0.44
0.01,1.0,0.44,0.45
0.01,1.0,0.44,0.46
0.01,1.0,0.44,0.47000000000000003
0.01,1.0,0.44,0.48
0.01,1.0,0.44,0.49
0.01,1.0,0.44,0.5
0.01,1.0,0.45,0.34
0.01,1.0,0.45,0.35000000000000003
0.01,1.0,0.45,0.36
0.01,1.0,0.45,0.37
0.01,1.0,0.45,0.38
0.01,1.0,0.45,0.39
0.01,1.0,0.45,0.4
0.01,1.0,0.45,0.41000000000000003
0.01,1.0,0.45,0.42
0.01,1.0,0.45,0.43
0.01,1.0,0.45,0.44
0.01,1.0,0.45,0.45
0.01,1.0,0.45,0.46
0.01,1.0,0.45,0.47000000000000003
0.01,1.0,0.45,0.48
0.01,1.0,0.45,0.49
0.01,1.0,0.45,0.5
0.01,1.0,0.46,0.34
0.01,1.0,0.46,0.35000000000000003
0.01,1.0,0.46,0.36
0.01,1.0,0.46,0.37
0.01,1.0,0.46,0.38
0.01,1.0,0.46,0.39
