p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.29,0.54,0.22,0.9
0.29,0.54,0.22,0.91
0.29,0.54,0.23,0.91
0.29,0.54,0.24,0.91
0.29,0.55,0.04,0.91
0.29,0.55,0.05,0.91
0.29,0.55,0.06,0.91
0.29,0.55,0.07,0.91
0.29,0.55,0.08,0.91
0.29,0.55,0.09,0.91
0.29,0.55,0.1,0.91
0.29,0.55,0.11,0.91
0.29,0.55,0.12,0.91
0.29,0.55,0.13,0.9
0.29,0.55,0.13,0.91
0.29,0.55,0.14,0.9
0.29,0.55,0.14,0.91
0.29,0.55,0.15,0.9
0.29,0.55,0.15,0.91
0.29,0.55,0.16,0.9
0.29,0.55,0.16,0.91
0.29,0.55,0.17,0.9
0.29,0.55,0.17,0.91
0.29,0.55,0.18,0.9
0.29,0.55,0.18,0.91
0.29,0.55,0.19,0.9
0.29,0.55,0.19,0.91
0.29,0.55,0.2,0.9
0.29,0.55,0.2,0.91
0.29,0.55,0.21,0.9
0.29,0.55,0.21,0.91
0.29,0.55,0.22,0.9
0.29,0.55,0.22,0.91
0.29,0.55,0.23,0.91
0.29,0.55,0.24,0.91
0.29,0.55,0.25,0.91
0.29,0.56,0.13,0.9
0.29,0.5700000000000001,0.13,0.9
0.29,0.58,0.13,0.9
0.29,0.59,0.13,0.9
0.29,0.6,0.13,0.9
0.29,0.61,0.13,0.9
0.29,0.62,0.13,0.9
0.29,0.63,0.13,0.9
0.29,0.64,0.13,0.9
0.29,0.65,0.13,0.9
0.29,0.66,0.13,0.9
0.29,0.67,0.13,0.9
0.29,0.68,0.13,0.9
0.29,0.6900000000000001,0.13,0.9
0.29,0.7000000000000001,0.13,0.9
0.29,0.71,0.13,0.9
0.29,0.72,0.13,0.9
0.29,0.73,0.13,0.9
0.29,0.74,0.13,0.9
0.29,0.75,0.13,0.9
0.29,0.76,0.13,0.9
0.29,0.77,0.13,0.9
0.29,0.78,0.13,0.9
0.29,0.79,0.13,0.9
0.29,0.8,0.13,0.9
