"mu_(('A', 1), 0)","mu_(('A', 1), ('A', 1))","mu_(('A', 1), ('A', 2))","mu_(('A', 1), ('B', 1))","mu_(('A', 1), ('B', 2))","mu_(('A', 2), 0)","mu_(('A', 2), ('A', 1))","mu_(('A', 2), ('A', 2))","mu_(('A', 2), ('B', 1))","mu_(('A', 2), ('B', 2))","mu_(('B', 1), 0)","mu_(('B', 1), ('A', 1))","mu_(('B', 1), ('A', 2))","mu_(('B', 1), ('B', 1))","mu_(('B', 1), ('B', 2))","mu_(('B', 2), 0)","mu_(('B', 2), ('A', 1))","mu_(('B', 2), ('A', 2))","mu_(('B', 2), ('B', 1))","mu_(('B', 2), ('B', 2))",N_A_1,N_A_2,N_B_1,N_B_2,N_A_1_raw,N_A_2_raw,N_B_1_raw,N_B_2_raw,total_individuals,term,major
0.18918918918918917,0.6486486486486487,0.16216216216216217,0.0,0.0,0.14285714285714288,0.28571428571428575,0.4761904761904762,0.0,0.09523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6166666666666667,0.35,0.0,0.03333333333333333,37,21,0,2,60,201610,Administración
0.2,0.4,0.2,0.2,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.10000000000000002,0.10000000000000002,0.0,0.8000000000000002,0.0,0.5,0.0,0.5,0.0,0.0,0.21739130434782608,0.2608695652173913,0.43478260869565216,0.08695652173913043,5,6,10,2,23,201610,Antropología
0.1388888888888889,0.5555555555555556,0.19444444444444445,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.047619047619047616,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.5625,0.328125,0.03125,0.078125,36,21,2,5,64,201610,Arquitectura
0.2,0.6,0.1,0.1,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5,0.0,0.25,0.25,0.0,0.43478260869565216,0.2608695652173913,0.13043478260869565,0.17391304347826086,10,6,3,4,23,201610,Artes
0.09090909090909091,0.7272727272727273,0.18181818181818182,0.0,0.0,0.07692307692307691,0.15384615384615383,0.6153846153846153,0.0,0.15384615384615383,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.375,0.0,0.25,0.125,0.25,0.3142857142857143,0.37142857142857144,0.08571428571428572,0.22857142857142856,11,13,3,8,35,201610,Biología
0.38461538461538464,0.15384615384615383,0.23076923076923075,0.23076923076923075,0.0,0.06896551724137931,0.10344827586206898,0.6896551724137931,0.034482758620689655,0.10344827586206898,0.12500000000000003,0.37500000000000006,0.12500000000000003,0.25000000000000006,0.12500000000000003,0.0,0.0,0.5000000000000001,0.16666666666666669,0.33333333333333337,0.23214285714285715,0.5178571428571429,0.14285714285714285,0.10714285714285714,13,29,8,6,56,201610,Cpol
0.10344827586206898,0.48275862068965525,0.10344827586206898,0.24137931034482762,0.06896551724137932,0.16129032258064516,0.0967741935483871,0.7096774193548387,0.03225806451612903,0.0,0.13333333333333333,0.46666666666666656,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.4,0.4,0.0,0.2,0.0,0.3625,0.3875,0.1875,0.0625,29,31,15,5,80,201610,Derecho
0.2,0.24,0.43999999999999995,0.08,0.04,0.11764705882352942,0.3235294117647059,0.4705882352941177,0.0,0.08823529411764706,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.0,0.0,0.25,0.75,0.0,0.0,0.36231884057971014,0.4927536231884058,0.08695652173913043,0.057971014492753624,25,34,6,4,69,201610,Diseño
0.1590909090909091,0.5,0.1590909090909091,0.18181818181818182,0.0,0.13636363636363635,0.3181818181818182,0.5454545454545454,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5432098765432098,0.2716049382716049,0.1111111111111111,0.07407407407407407,44,22,9,6,81,201610,Economía
0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.375,0.0,2,3,3,0,8,201610,Filosofía
