mu_B0,mu_BB,mu_BW,mu_W0,mu_WB,mu_WW,N_B,N_W,term,major
0.0,0.0,1.0,0.17241379310344826,0.034482758620689655,0.7931034482758621,2,58,201610,Administración
0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0909090909090909,0.1818181818181818,0.7272727272727272,12,11,201610,Antropología
0.0,0.2857142857142857,0.7142857142857143,0.21052631578947367,0.08771929824561403,0.7017543859649122,7,57,201610,Arquitectura
0.2857142857142857,0.2857142857142857,0.42857142857142855,0.3125,0.1875,0.5,7,16,201610,Artes
0.27272727272727276,0.5454545454545455,0.18181818181818182,0.08333333333333333,0.08333333333333333,0.8333333333333333,11,24,201610,Biología
0.07142857142857142,0.42857142857142855,0.5,0.16666666666666666,0.16666666666666666,0.6666666666666666,14,42,201610,Cpol
0.2,0.3,0.5,0.13333333333333333,0.16666666666666666,0.7000000000000001,20,60,201610,Derecho
0.19999999999999998,0.19999999999999998,0.6,0.15254237288135591,0.10169491525423728,0.7457627118644067,10,59,201610,Diseño
0.2,0.26666666666666666,0.5333333333333333,0.15151515151515152,0.12121212121212122,0.7272727272727273,15,66,201610,Economía
0.0,0.6666666666666666,0.3333333333333333,0.4,0.2,0.4,3,5,201610,Filosofía
0.33333333333333337,0.4444444444444445,0.22222222222222224,0.2380952380952381,0.09523809523809525,0.6666666666666667,9,21,201610,Física
0.3333333333333333,0.0,0.6666666666666666,0.14285714285714285,0.19047619047619047,0.6666666666666666,6,21,201610,Geociencias
0.2222222222222222,0.2222222222222222,0.5555555555555556,0.2962962962962963,0.1851851851851852,0.5185185185185185,9,27,201610,GobPolítica
1.0,0.0,0.0,0.0,0.0,1.0,1,2,201610,HistArte
0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,1,3,201610,Historia
0.16666666666666666,0.3333333333333333,0.5,0.14285714285714288,0.28571428571428575,0.5714285714285715,24,42,201610,IngAmbiental
0.14285714285714285,0.19047619047619047,0.6666666666666666,0.16666666666666669,0.2916666666666667,0.5416666666666667,21,48,201610,IngBiomédica
0.21875,0.25,0.53125,0.16326530612244897,0.346938775510204,0.48979591836734687,32,49,201610,IngCivil
0.09677419354838711,0.4516129032258065,0.4516129032258065,0.1794871794871795,0.358974358974359,0.46153846153846145,31,39,201610,IngElectrónica
0.29411764705882354,0.5882352941176471,0.11764705882352942,0.2,0.4,0.4,17,5,201610,IngEléctrica
0.06896551724137931,0.20689655172413793,0.7241379310344828,0.1415929203539823,0.18584070796460175,0.6725663716814159,29,113,201610,IngIndustrial
0.07142857142857142,0.5,0.42857142857142855,0.15625,0.1875,0.65625,28,64,201610,IngMecánica
0.12903225806451613,0.5161290322580645,0.3548387096774194,0.10169491525423728,0.1864406779661017,0.711864406779661,31,59,201610,IngQuímica
0.1627906976744186,0.5116279069767442,0.3255813953488372,0.17460317460317462,0.22222222222222224,0.6031746031746031,43,63,201610,IngSistemas
0.0,0.0,1.0,0.2222222222222222,0.2222222222222222,0.5555555555555555,4,18,201610,Literatura
1.0,0.0,0.0,0.11111111111111112,0.0,0.888888888888889,1,9,201610,Matemáticas
0.21739130434782608,0.2608695652173913,0.5217391304347826,0.1111111111111111,0.3333333333333333,0.5555555555555555,23,36,201610,Medicina
0.3,0.6,0.1,0.4444444444444444,0.1111111111111111,0.4444444444444444,10,9,201610,Microbiología
0.09090909090909091,0.36363636363636365,0.5454545454545455,0.1111111111111111,0.3333333333333333,0.5555555555555556,11,18,201610,Música
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.16666666666666666,0.5555555555555556,18,36,201610,Psicología
0.14285714285714285,0.5714285714285714,0.2857142857142857,0.05882352941176471,0.23529411764705885,0.7058823529411765,14,17,201610,Química
0.12151394422310757,0.44621513944223107,0.4322709163346613,0.11386986301369861,0.18578767123287668,0.7003424657534246,502,1168,201610,total
0.0,0.0,0.0,0.07246376811594203,0.0,0.927536231884058,0,69,201620,Administración
0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0,9,201620,Antropología
0.0,0.0,1.0,0.109375,0.046875,0.84375,3,64,201620,Arquitectura
0.0,0.6666666666666666,0.3333333333333333,0.23999999999999996,0.039999999999999994,0.72,3,25,201620,Artes
0.5,0.0,0.5,0.2692307692307692,0.03846153846153846,0.6923076923076923,2,26,201620,Biología
0.0,0.6666666666666666,0.3333333333333333,0.2037037037037037,0.018518518518518517,0.7777777777777778,3,54,201620,Cpol
1.0,0.0,0.0,0.1566265060240964,0.0,0.8433734939759036,2,83,201620,Derecho
0.0,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0,72,201620,Diseño
0.0,0.0,1.0,0.0967741935483871,0.02150537634408602,0.8817204301075269,2,93,201620,Economía
0.0,0.0,0.0,0.0,0.0,1.0,0,8,201620,Filosofía
0.5,0.0,0.5,0.08333333333333333,0.08333333333333333,0.8333333333333334,2,12,201620,Física
0.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0,7,201620,Geociencias
0.33333333333333337,0.0,0.6666666666666667,0.14893617021276598,0.04255319148936171,0.8085106382978724,3,47,201620,GobPolítica
0.0,0.0,1.0,0.09090909090909091,0.18181818181818182,0.7272727272727273,2,11,201620,HistArte
0.0,0.0,1.0,0.14814814814814814,0.037037037037037035,0.8148148148148148,1,27,201620,IngAmbiental
0.0,0.4,0.6,0.15217391304347827,0.06521739130434782,0.782608695652174,5,46,201620,IngBiomédica
0.5,0.0,0.5,0.14062499999999997,0.015625,0.84375,2,64,201620,IngCivil
