,201712928,201632641,201711044,201719781,201632614,201716102,201631710,201716637,201712222
201712928,0.0,0.5294117647058824,0.5294117647058824,0.375,0.35294117647058826,0.5294117647058824,0.8,0.5294117647058824,0.35294117647058826
201632641,0.5294117647058824,0.0,0.5,0.375,0.3333333333333333,0.3333333333333333,0.6,0.5,0.3333333333333333
201711044,0.5294117647058824,0.5,0.0,0.5625,0.3333333333333333,0.5,0.6,0.5,0.3157894736842105
201719781,0.375,0.375,0.5625,0.0,0.375,0.5625,0.4,0.375,0.375
201632614,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.375,0.0,0.3333333333333333,0.4,0.5,0.6666666666666666
201716102,0.5294117647058824,0.3333333333333333,0.5,0.5625,0.3333333333333333,0.0,0.6,0.3333333333333333,0.3333333333333333
201631710,0.8,0.6,0.6,0.4,0.4,0.6,0.0,0.6,0.4
201716637,0.5294117647058824,0.5,0.5,0.375,0.5,0.3333333333333333,0.6,0.0,0.3333333333333333
201712222,0.35294117647058826,0.3333333333333333,0.3157894736842105,0.375,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,0.0
